Year,Month,Prefecture,Tourist (Japan)
2004,May,Osaka,310428
2004,Jun,Osaka,327006
2004,Jul,Osaka,427874
2004,Aug,Osaka,367292
2004,Sep,Osaka,277151
2004,Oct,Osaka,322783
2004,Nov,Osaka,280670
2004,Dec,Osaka,299245
2005,Jan,Osaka,292004
2005,Feb,Osaka,343172
2005,Mar,Osaka,339690
2005,Apr,Osaka,378597
2005,May,Osaka,331430
2005,Jun,Osaka,374180
2005,Jul,Osaka,484817
2005,Aug,Osaka,426917
2005,Sep,Osaka,326321
2005,Oct,Osaka,379015
2005,Nov,Osaka,326877
2005,Dec,Osaka,365553
2006,Jan,Osaka,413532
2006,Feb,Osaka,339445
2006,Mar,Osaka,363923
2006,Apr,Osaka,474844
2006,May,Osaka,391485
2006,Jun,Osaka,393762
2006,Jul,Osaka,524366
2006,Aug,Osaka,467016
2006,Sep,Osaka,358422
2006,Oct,Osaka,475608
2006,Nov,Osaka,388497
2006,Dec,Osaka,438422
2007,Jan,Osaka,401624
2007,Feb,Osaka,468163
2007,Mar,Osaka,452074
2007,Apr,Osaka,517652
2007,May,Osaka,462407
2007,Jun,Osaka,456056
2007,Jul,Osaka,621877
2007,Aug,Osaka,566071
2007,Sep,Osaka,459813
2007,Oct,Osaka,550587
2007,Nov,Osaka,476640
2007,Dec,Osaka,521216
2008,Jan,Osaka,491401
2008,Feb,Osaka,519469
2008,Mar,Osaka,503308
2008,Apr,Osaka,576014
2008,May,Osaka,541672
2008,Jun,Osaka,502577
2008,Jul,Osaka,649234
2008,Aug,Osaka,559421
2008,Sep,Osaka,427406
2008,Oct,Osaka,526631
2008,Nov,Osaka,367572
2008,Dec,Osaka,383976
2009,Jan,Osaka,399352
2009,Feb,Osaka,256117
2009,Mar,Osaka,371017
2009,Apr,Osaka,458192
2009,May,Osaka,334957
2009,Jun,Osaka,286981
2009,Jul,Osaka,483541
2009,Aug,Osaka,504395
2009,Sep,Osaka,335416
2009,Oct,Osaka,455813
2009,Nov,Osaka,380067
2009,Dec,Osaka,493985
2010,Jan,Osaka,437752
2010,Feb,Osaka,514106
2010,Mar,Osaka,484298
2010,Apr,Osaka,601872
2010,May,Osaka,536880
2010,Jun,Osaka,511123
2010,Jul,Osaka,714623
2010,Aug,Osaka,613413
2010,Sep,Osaka,498421
2010,Oct,Osaka,507872
2010,Nov,Osaka,435315
2010,Dec,Osaka,506299
2011,Jan,Osaka,505543
2011,Feb,Osaka,506441
2011,Mar,Osaka,190730
2011,Apr,Osaka,108820
2011,May,Osaka,183799
2011,Jun,Osaka,282118
2011,Jul,Osaka,396559
2011,Aug,Osaka,373195
2011,Sep,Osaka,323947
2011,Oct,Osaka,404377
2011,Nov,Osaka,358056
2011,Dec,Osaka,423650
2012,Jan,Osaka,486156
2012,Feb,Osaka,364800
2012,Mar,Osaka,452710
2012,Apr,Osaka,582655
2012,May,Osaka,473792
2012,Jun,Osaka,511443
2012,Jul,Osaka,666603
2012,Aug,Osaka,592809
2012,Sep,Osaka,430025
2012,Oct,Osaka,480255
2012,Nov,Osaka,455666
2012,Dec,Osaka,544731
2013,Jan,Osaka,456009
2013,Feb,Osaka,559949
2013,Mar,Osaka,624502
2013,Apr,Osaka,719277
2013,May,Osaka,676551
2013,Jun,Osaka,720877
2013,Jul,Osaka,819985
2013,Aug,Osaka,716059
2013,Sep,Osaka,627679
2013,Oct,Osaka,702911
2013,Nov,Osaka,628688
2013,Dec,Osaka,710030
2014,Jan,Osaka,730519
2014,Feb,Osaka,688902
2014,Mar,Osaka,802434
2014,Apr,Osaka,1020474
2014,May,Osaka,892577
2014,Jun,Osaka,866883
2014,Jul,Osaka,1080552
2014,Aug,Osaka,903919
2014,Sep,Osaka,846241
2014,Oct,Osaka,1029922
2014,Nov,Osaka,943831
2014,Dec,Osaka,1074350
